TIME,SEQUENCE NUMBER,PROCESSING TIME
Sun Aug 16 2020 16:18:21 GMT+0400 (Gulf Standard Time),57546364,1201
Sun Aug 16 2020 16:18:24 GMT+0400 (Gulf Standard Time),57546365,2841
Sun Aug 16 2020 16:18:30 GMT+0400 (Gulf Standard Time),57546366,5892
Sun Aug 16 2020 16:18:33 GMT+0400 (Gulf Standard Time),57546367,2970
Sun Aug 16 2020 16:18:36 GMT+0400 (Gulf Standard Time),57546368,2972
Sun Aug 16 2020 16:18:42 GMT+0400 (Gulf Standard Time),57546369,6083
Sun Aug 16 2020 16:18:48 GMT+0400 (Gulf Standard Time),57546371,368
Sun Aug 16 2020 16:18:51 GMT+0400 (Gulf Standard Time),57546372,2995
Sun Aug 16 2020 16:18:57 GMT+0400 (Gulf Standard Time),57546373,5923
Sun Aug 16 2020 16:19:00 GMT+0400 (Gulf Standard Time),57546374,3117
Sun Aug 16 2020 16:19:03 GMT+0400 (Gulf Standard Time),57546375,3009
Sun Aug 16 2020 16:19:09 GMT+0400 (Gulf Standard Time),57546376,5833
Sun Aug 16 2020 16:19:12 GMT+0400 (Gulf Standard Time),57546377,3174
Sun Aug 16 2020 16:19:15 GMT+0400 (Gulf Standard Time),57546378,2982
Sun Aug 16 2020 16:19:21 GMT+0400 (Gulf Standard Time),57546379,5845
Sun Aug 16 2020 16:19:24 GMT+0400 (Gulf Standard Time),57546380,3032
Sun Aug 16 2020 16:19:27 GMT+0400 (Gulf Standard Time),57546381,3019
Sun Aug 16 2020 16:19:30 GMT+0400 (Gulf Standard Time),57546382,3209
Sun Aug 16 2020 16:19:36 GMT+0400 (Gulf Standard Time),57546383,6012
Sun Aug 16 2020 16:19:39 GMT+0400 (Gulf Standard Time),57546384,2868
Sun Aug 16 2020 16:19:42 GMT+0400 (Gulf Standard Time),57546385,2882
Sun Aug 16 2020 16:19:48 GMT+0400 (Gulf Standard Time),57546386,6003
Sun Aug 16 2020 16:19:51 GMT+0400 (Gulf Standard Time),57546387,2970
Sun Aug 16 2020 16:19:54 GMT+0400 (Gulf Standard Time),57546388,3132
Sun Aug 16 2020 16:19:57 GMT+0400 (Gulf Standard Time),57546389,3049
Sun Aug 16 2020 16:20:03 GMT+0400 (Gulf Standard Time),57546390,6058
Sun Aug 16 2020 16:20:06 GMT+0400 (Gulf Standard Time),57546391,2826
Sun Aug 16 2020 16:20:09 GMT+0400 (Gulf Standard Time),57546392,2951
Sun Aug 16 2020 16:20:15 GMT+0400 (Gulf Standard Time),57546393,6171
Sun Aug 16 2020 16:20:18 GMT+0400 (Gulf Standard Time),57546394,3037
Sun Aug 16 2020 16:20:21 GMT+0400 (Gulf Standard Time),57546395,3033
Sun Aug 16 2020 16:20:27 GMT+0400 (Gulf Standard Time),57546396,5990
Sun Aug 16 2020 16:20:30 GMT+0400 (Gulf Standard Time),57546397,2966
Sun Aug 16 2020 16:20:33 GMT+0400 (Gulf Standard Time),57546398,2965
Sun Aug 16 2020 16:20:36 GMT+0400 (Gulf Standard Time),57546399,3006
